"facility_site","province","first_public_evidence_in_this_review","programme_or_source","present_in_2022_strategy_inventory","later_commissioning_or_status","counted_as_net_new_site_after_2022","caveat"
"Lewanika General Hospital","Western","2022 strategy baseline","NMOSP; World Bank 15-plant programme","Yes","World Bank mobile plant commissioned by project close 2024","No","New unit at an existing plant site; replacement versus parallel plant not stated"
"Mansa General Hospital","Luapula","2022 strategy baseline","NMOSP; World Bank 15-plant programme","Yes","World Bank mobile plant commissioned by project close 2024","No","New unit at an existing plant site"
"Chinsali General Hospital","Muchinga","2020 survey / 2022 strategy","NMOSP; Global Fund–UNOPS","Yes","UNOPS programme plant commissioned 28 Jun 2025","No","Replacement or upgrade versus parallel plant not stated"
"Kalindawalo General Hospital","Eastern","2020 survey / 2022 strategy","NMOSP; Global Fund–UNOPS","Yes","UNOPS programme plant commissioned 21 Jun 2025","No","Replacement or upgrade versus parallel plant not stated"
"UTH Adult Hospital","Lusaka","2022 strategy baseline","NMOSP; World Bank 15-plant programme","Yes","World Bank mobile plant commissioned by project close 2024","No","Older UTH plant was separately reported nonfunctional in Nov 2024; likely different assets"
"UTH Children's Hospital","Lusaka","2020 survey / 2022 strategy","NMOSP","Yes","Plant rehabilitation reported complete by Sep 2021","No","2020 functionality record is internally contradictory"
"National Heart Hospital","Lusaka","2022 strategy baseline","NMOSP; Global Fund–UNOPS","Yes","UNOPS programme plant inaugurated Nov 2024","No","New unit at an existing plant site"
"Levy Mwanawasa University Teaching Hospital","Lusaka","2022 strategy baseline","NMOSP; World Bank 15-plant programme","Yes","World Bank mobile plant commissioned by project close 2024","No","Also has LOX; multiple oxygen assets at one facility"
"Maina Soko Medical Centre","Lusaka","2022 strategy baseline","NMOSP","Yes","","No","Auditor General separately recorded an undelivered contracted plant; relationship to the strategy asset is unclear"
"St Francis Hospital Katete","Eastern","Operational by Jun 2021 / 2022 strategy","Hospital report; NMOSP","Yes","Solar-supported operation and piping reported in 2023","No","Manufacturer states 14 m³/hour; strategy states 12 m³/hour"
"Solwezi General Hospital","North-Western","World Bank completion","World Bank 15-plant programme","No","Commissioned by project close 2024","Yes",""
"Kabompo District Hospital","North-Western","World Bank completion","World Bank 15-plant programme","No","Commissioned by project close 2024","Yes",""
"Chilonga Mission Hospital","Muchinga","World Bank completion","World Bank 15-plant programme","No","Commissioned by project close 2024","Yes",""
"Nchanga North Hospital","Copperbelt","World Bank completion","World Bank 15-plant programme","No","Commissioned by project close 2024","Yes",""
"Kabwe Women Newborn and Children's Hospital","Central","World Bank completion","World Bank 15-plant programme","No","Commissioned by project close 2024","Yes","Distinct facility from Kabwe Central Hospital"
"Luampa Mission Hospital","Western","World Bank completion","World Bank 15-plant programme","No","Commissioned by project close 2024","Yes",""
"Livingstone University Teaching Hospital","Southern","World Bank completion","World Bank 15-plant programme","No","Commissioned by project close 2024","Yes","Also has a separately reported LOX installation"
"Choma General Hospital","Southern","World Bank completion","World Bank 15-plant programme","No","Commissioned by project close 2024","Yes",""
"Chipata General Hospital","Eastern","World Bank completion","World Bank 15-plant programme","No","Commissioned by project close 2024","Yes",""
"Lundazi District Hospital","Eastern","World Bank completion","World Bank 15-plant programme","No","Commissioned by project close 2024","Yes",""
"Chongwe District Hospital","Lusaka","World Bank completion","World Bank 15-plant programme","No","Commissioned by project close 2024","Yes","Distinct facility from National Heart Hospital although both are in Chongwe District"
"Kitwe Teaching Hospital","Copperbelt","UNICEF handover 2 May 2024","UNICEF/Sweden project","No","Commissioned 2 May 2024","Yes","Separate from World Bank and Global Fund–UNOPS programmes"
"Kasama General Hospital","Northern","UNOPS commissioning","Global Fund–UNOPS","No","Commissioned 6 May 2025","Yes","Not in the strategy's 10-site public PSA inventory"
"Kabwe Central Hospital","Central","UNOPS commissioning","Global Fund–UNOPS","No","Commissioned 16 Jun 2025","Yes","Distinct facility from the World Bank unit at Kabwe Women Newborn and Children's Hospital"
"St Paul's Mission Hospital Nchelenge","Luapula","UNOPS commissioning","Global Fund–UNOPS","No","Commissioned 28 Apr 2026","Yes",""
"Mwandi Mission Hospital","Western","CHAZ site report Aug 2025","Independent mission-hospital project","No","Reported accomplished by 18 Aug 2025","Yes","Exact commissioning date and measured performance not published"
"Mtendere Mission Hospital Chirundu","Southern","CHAZ commissioning report Apr 2026","Independent mission-hospital project","No","Installed 24 Apr 2026","Yes","Measured output purity and uptime not published"
